"category","photo_name","expected_integer","old_predicted_reading","gt_crop_predicted_reading","gt_crop_predicted_serial","gt_crop_labels","gt_crop_raw_texts","old_norm_match","gt_crop_norm_match","note"
"A_missing_reading","id_569_value_384_176.jpg","384","","","081410","Current_pointer_reading_region,Serial_number_region,Serial_number_region,Current_pointer_reading_region,Serial_number_region","","False","False",""
"A_missing_reading","id_880_value_462_079.jpg","462","","","","","","False","False",""
"A_missing_reading","id_1193_value_147_365.jpg","147","","","","","","False","False",""
"A_missing_reading","id_842_value_401_992.jpg","401","","0101410","","Current_pointer_reading_region","{""value"":[""0101410"",0.7857860922813416],""Count"":2}","False","False",""
"A_missing_reading","id_737_value_119_002.jpg","119","","","","","","False","False",""
"A_missing_reading","id_721_value_134_634.jpg","134","","","","","","False","False",""
"B_leading_zero_only","id_1061_value_572_883.jpg","572","00572","","","","","True","False",""
"B_leading_zero_only","id_71_value_90_216.jpg","90","00090","","","","","True","False",""
"B_leading_zero_only","id_502_value_35_581.jpg","35","00035","","","","","True","False",""
"B_leading_zero_only","id_551_value_569_424.jpg","569","00569","","","","","True","False",""
"B_leading_zero_only","id_363_value_370_127.jpg","370","00370","","","","","True","False",""
"B_leading_zero_only","id_695_value_93_701.jpg","93","00093","","","","","True","False",""
"C_decimal_leak_or_extra_suffix","id_398_value_8_898.jpg","8","00008898","00889","","Current_pointer_reading_region,Current_pointer_reading_region","[{""value"":[""8"",0.9700199365615845],""Count"":2},{""value"":[""00889"",0.9008431434631348],""Count"":2}]","False","False",""
"C_decimal_leak_or_extra_suffix","id_924_value_625_593.jpg","625","062559","","","","","False","False",""
"C_decimal_leak_or_extra_suffix","id_953_value_66_584.jpg","66","00066584","","","","","False","False",""
"C_decimal_leak_or_extra_suffix","id_261_value_80_19.jpg","80","0008090","","","","","False","False",""
"C_decimal_leak_or_extra_suffix","id_794_value_1078_458.jpg","1078","01078458","","","","","False","False",""
"C_decimal_leak_or_extra_suffix","id_933_value_121_779.jpg","121","00121079","","","","","False","False",""
"D_too_short_or_truncated","id_53_value_595_825.jpg","595","0055","2","","Current_pointer_reading_region","{""value"":[""2"",0.8250698447227478],""Count"":2}","False","False",""
"D_too_short_or_truncated","id_252_value_313_322.jpg","313","2","","","meter","","False","False",""
"D_too_short_or_truncated","id_851_value_305_162.jpg","305","00","00","","Current_pointer_reading_region","{""value"":[""00.305"",0.9506435990333557],""Count"":2}","False","False",""
"D_too_short_or_truncated","id_83_value_1336_114.jpg","1336","008","","2000","Serial_number_region,Serial_number_region","","False","False",""
"D_too_short_or_truncated","id_672_value_350_806.jpg","350","006","","81410","Serial_number_region,Serial_number_region,Current_pointer_reading_region","","False","False",""
"D_too_short_or_truncated","id_2_value_495_341.jpg","495","0049","","","","","False","False",""
"E_severely_wrong","id_553_value_65_475.jpg","65","9009","","","","","False","False",""
"E_severely_wrong","id_407_value_21_86.jpg","21","010121","","","","","False","False",""
"E_severely_wrong","id_1204_value_78_677.jpg","78","9091176","000718","","Current_pointer_reading_region,Current_pointer_reading_region","{""value"":[""000718"",0.9280913472175598],""Count"":2}","False","False",""
"E_severely_wrong","id_112_value_365_387.jpg","365","100365","","","meter","","False","False",""
"E_severely_wrong","id_988_value_108_494.jpg","108","8494","","","","","False","False",""
"E_severely_wrong","id_1090_value_309_531.jpg","309","81532","53","","Current_pointer_reading_region","{""value"":[""53"",0.988067626953125],""Count"":2}","False","False",""
